Title,Type,ISSN,ISSN_A,ISSN_B,SJR,HINDEX,JCR
Bulletin of Mathematical Biology,journal,"00928240, 15229602",00928240, 15229602,0.702,101,0.702
Chinese Journal of International Politics,journal,"17508924, 17508916",17508924, 17508916,0.702,41,0.702
Journal of the Acoustical Society of America,journal,"15208524, 00014966",15208524, 00014966,0.702,221,0.702
Revista Latina de Comunicacion Social,journal,11385820,11385820,,0.702,34,0.702
Biomass Conversion and Biorefinery,journal,"21906815, 21906823",21906815, 21906823,0.702,56,0.702
International Journal of Biomaterials,journal,"16878787, 16878795",16878787, 16878795,0.702,45,0.702
Journal of Developmental and Physical Disabilities,journal,"1056263X, 15733580",1056263X, 15733580,0.702,55,0.702
Journal of Financial Services Research,journal,"15730735, 09208550",15730735, 09208550,0.702,63,0.702
Journal of Vascular Research,journal,"10181172, 14230135",10181172, 14230135,0.702,83,0.702
Partial Differential Equations in Applied Mathematics,journal,26668181,26668181,,0.702,33,0.702
Evolving Systems,journal,"18686486, 18686478",18686486, 18686478,0.701,40,0.701
International Journal of Structural Stability and Dynamics,journal,"02194554, 17936764",02194554, 17936764,0.701,56,0.701
Journal of Asia Business Studies,journal,"15592243, 15587894",15592243, 15587894,0.701,37,0.701
Journal of Chemical Ecology,journal,"15731561, 00980331",15731561, 00980331,0.701,136,0.701
Journal of Forecasting,journal,"02776693, 1099131X",02776693, 1099131X,0.701,71,0.701
Journal of Insect Conservation,journal,"15729753, 1366638X",15729753, 1366638X,0.701,76,0.701
Journal of Traditional and Complementary Medicine,journal,22254110,22254110,,0.701,67,0.701
Angiology,journal,"00033197, 19401574",00033197, 19401574,0.701,78,0.701
BMC Medical Imaging,journal,14712342,14712342,,0.701,56,0.701
Current Opinion in Anaesthesiology,journal,"14736500, 09527907",14736500, 09527907,0.701,89,0.701
Journal of Psychoeducational Assessment,journal,"15575144, 07342829",15575144, 07342829,0.701,61,0.701
Nonlinear Processes in Geophysics,journal,"10235809, 16077946",10235809, 16077946,0.701,70,0.701
Oxford Open Energy,journal,27525082,27525082,,0.701,8,0.701
River,journal,27504867,27504867,,0.701,7,0.701
BMC Medical Genomics,journal,17558794,17558794,,0.701,99,0.701
Annals of Physics,journal,"00034916, 1096035X",00034916, 1096035X,0.7,118,0.7
Applied Corpus Linguistics,journal,26667991,26667991,,0.7,10,0.7
Crop Protection,journal,02612194,02612194,,0.7,129,0.7
International Journal of Heat and Fluid Flow,journal,0142727X,0142727X,,0.7,131,0.7
Journal of Accounting in Emerging Economies,journal,"20421168, 20421176",20421168, 20421176,0.7,34,0.7
Journal of Manufacturing Science and Engineering,journal,"10871357, 15288935",10871357, 15288935,0.7,118,0.7
Transactions of the London Mathematical Society,journal,20524986,20524986,,0.7,8,0.7
Health and Technology,journal,"21907196, 21907188",21907196, 21907188,0.7,39,0.7
Hydrology Research,journal,"22247955, 19989563",22247955, 19989563,0.7,61,0.7
International Journal of Developmental Disabilities,journal,"20473877, 20473869",20473877, 20473869,0.7,29,0.7
Japanese Economic Review,journal,"13524739, 14685876",13524739, 14685876,0.7,32,0.7
Journal of Membrane Biology,journal,"14321424, 00222631",14321424, 00222631,0.7,108,0.7
Training and Education in Professional Psychology,journal,19313918,19313918,,0.7,43,0.7
Biologics,journal,26738449,26738449,,0.699,14,0.699
CABI Agriculture and Bioscience,journal,26624044,26624044,,0.699,19,0.699
Human Rights Law Review,journal,"14617781, 17441021",14617781, 17441021,0.699,47,0.699
Irish Journal of Psychological Medicine,journal,07909667,07909667,,0.699,37,0.699
Journal of Accounting and Organizational Change,journal,18325912,18325912,,0.699,40,0.699
Optical Materials,journal,09253467,09253467,,0.699,128,0.699
Results in Physics,journal,22113797,22113797,,0.699,110,0.699
Solid State Nuclear Magnetic Resonance,journal,"09262040, 15273326",09262040, 15273326,0.699,70,0.699
Therapeutics and Clinical Risk Management,journal,"11766336, 1178203X",11766336, 1178203X,0.699,74,0.699
Biochemistry and Biophysics Reports,journal,24055808,24055808,,0.699,47,0.699
Clinical Medicine Insights: Oncology,journal,11795549,11795549,,0.699,37,0.699
Clinics in Shoulder and Elbow,journal,"23838337, 22888721",23838337, 22888721,0.699,6,0.699
Environmental Health Insights,journal,11786302,11786302,,0.699,32,0.699
Instruments,journal,2410390X,2410390X,,0.699,20,0.699
International Journal of Fertility and Sterility,journal,"2008076X, 20080778",2008076X, 20080778,0.699,43,0.699
International Journal of Information and Learning Technology,journal,"20564899, 20564880",20564899, 20564880,0.699,45,0.699
Journal of Market Access and Health Policy,journal,20016689,20016689,,0.699,30,0.699
Journal of Thoracic Imaging,journal,"08835993, 15360237",08835993, 15360237,0.699,69,0.699
Prostaglandins and Other Lipid Mediators,journal,10988823,10988823,,0.699,89,0.699
Annals of Forest Science,journal,"1297966X, 12864560",1297966X, 12864560,0.698,95,0.698
Canadian Journal on Aging,journal,"07149808, 17101107",07149808, 17101107,0.698,54,0.698
"Culture, Medicine and Psychiatry",journal,"1573076X, 0165005X",1573076X, 0165005X,0.698,65,0.698
European Journal of Women's Studies,journal,"13505068, 14617420",13505068, 14617420,0.698,59,0.698
Evolution Equations and Control Theory,journal,"21632480, 21632472",21632480, 21632472,0.698,26,0.698
Granular Matter,journal,"14347636, 14345021",14347636, 14345021,0.698,85,0.698
IIC International Review of Intellectual Property and Competition Law,journal,"00189855, 21950237",00189855, 21950237,0.698,25,0.698
Integrating Materials and Manufacturing Innovation,journal,"21939764, 21939772",21939764, 21939772,0.698,37,0.698
International Journal of Cultural Policy,journal,"14772833, 10286632",14772833, 10286632,0.698,63,0.698
Multimedia Systems,journal,"14321882, 09424962",14321882, 09424962,0.698,70,0.698
ACM Transactions on Cyber-Physical Systems,journal,"23789638, 2378962X",23789638, 2378962X,0.698,27,0.698
Cosmetics,journal,20799284,20799284,,0.698,52,0.698
Foundations and Trends in Econometrics,journal,"15513076, 15513084",15513076, 15513084,0.698,15,0.698
Journal of Proteomics,journal,"18743919, 18767737",18743919, 18767737,0.698,131,0.698
Nursing and Health Sciences,journal,"14422018, 14410745",14422018, 14410745,0.698,62,0.698
Physical Chemistry Chemical Physics,journal,"14639084, 14639076",14639084, 14639076,0.698,303,0.698
Agricultural and Environmental Letters,journal,24719625,24719625,,0.697,26,0.697
Armed Forces and Society,journal,"15560848, 0095327X",15560848, 0095327X,0.697,50,0.697
Communications in Information Literacy,journal,19335954,19335954,,0.697,25,0.697
Health Promotion Journal of Australia,journal,"10361073, 22011617",10361073, 22011617,0.697,44,0.697
Interactional Linguistics,journal,"26664224, 26664232",26664224, 26664232,0.697,5,0.697
Journal of Building Performance Simulation,journal,"19401507, 19401493",19401507, 19401493,0.697,55,0.697
Palliative Care and Social Practice,journal,26323524,26323524,,0.697,17,0.697
Research in the Teaching of English,journal,"0034527X, 19432348",0034527X, 19432348,0.697,50,0.697
Acta Histochemica et Cytochemica,journal,"13475800, 00445991",13475800, 00445991,0.697,33,0.697
Cancer Genomics and Proteomics,journal,"17906245, 11096535",17906245, 11096535,0.697,51,0.697
Health Services and Outcomes Research Methodology,journal,"13873741, 15729400",13873741, 15729400,0.697,35,0.697
IEEE Journal of Photovoltaics,journal,21563381,21563381,,0.697,98,0.697
Journal of Computational Science,journal,18777503,18777503,,0.697,71,0.697
Journal of Inorganic and Organometallic Polymers and Materials,journal,"15741443, 15741451",15741443, 15741451,0.697,69,0.697
Freshwater Science,journal,"21619549, 21619565",21619549, 21619565,0.696,131,0.696
Industrial Law Journal,journal,03059332,03059332,,0.696,35,0.696
International Journal of Earth Sciences,journal,"14373254, 14373262",14373254, 14373262,0.696,113,0.696
Journal of Applied Communication Research,journal,"14795752, 00909882",14795752, 00909882,0.696,72,0.696
Journal of Insects as Food and Feed,journal,23524588,23524588,,0.696,50,0.696
Journal of Transport and Land Use,journal,19387849,19387849,,0.696,46,0.696
BioMedical Engineering Online,journal,1475925X,1475925X,,0.696,102,0.696
Fungal Genetics and Biology,journal,"10960937, 10871845",10960937, 10871845,0.696,129,0.696
Journal of Elasticity,journal,"15732681, 03743535",15732681, 03743535,0.696,73,0.696
American Journal of Clinical Oncology: Cancer Clinical Trials,journal,"1537453X, 02773732",1537453X, 02773732,0.696,93,0.696
Metabolism and Target Organ Damage,journal,27696375,27696375,,0.696,8,0.696
Carpathian Mathematical Publications,journal,"20759827, 23130210",20759827, 23130210,0.695,16,0.695
Enterprise and Society,journal,"14672227, 14672235",14672227, 14672235,0.695,33,0.695
Japan and the World Economy,journal,09221425,09221425,,0.695,42,0.695
Philosophy of Science,journal,"1539767X, 00318248",1539767X, 00318248,0.695,89,0.695
Quantitative Finance,journal,"14697696, 14697688",14697696, 14697688,0.695,89,0.695
Journal of Behavioral Health Services and Research,journal,"10943412, 15563308",10943412, 15563308,0.695,62,0.695
Journal of Microbiology,journal,"19763794, 12258873",19763794, 12258873,0.695,83,0.695
Journal of Psychotherapy Integration,journal,10530479,10530479,,0.695,46,0.695
Rapid Prototyping Journal,journal,13552546,13552546,,0.695,127,0.695
Reviews in Mathematical Physics,journal,"17936659, 0129055X",17936659, 0129055X,0.695,57,0.695
Special Matrices,journal,23007451,23007451,,0.695,13,0.695
Animal Bioscience,journal,"27650235, 27650189",27650235, 27650189,0.694,89,0.694
Animal Feed Science and Technology,journal,03778401,03778401,,0.694,149,0.694
"Journal of Child Sexual Abuse: Research, Treatment, and Program Innovations for Victims, Suvivors, and Offenders",journal,"10538712, 15470679",10538712, 15470679,0.694,57,0.694
Journal of the American Dental Association,journal,"00028177, 19434723",00028177, 19434723,0.694,141,0.694
Monatshefte fur Mathematik,journal,"14365081, 00269255",14365081, 00269255,0.694,41,0.694
Moscow Mathematical Journal,journal,"16094514, 16093321",16094514, 16093321,0.694,24,0.694
Positivity,journal,"13851292, 15729281",13851292, 15729281,0.694,36,0.694
Educational Process: International Journal,journal,"25648020, 21470901",25648020, 21470901,0.694,13,0.694
Epilepsy Research,journal,"09201211, 18726844",09201211, 18726844,0.694,130,0.694
European Journal of Drug Metabolism and Pharmacokinetics,journal,"21070180, 03787966",21070180, 03787966,0.694,50,0.694
Genes to Cells,journal,"13652443, 13569597",13652443, 13569597,0.694,125,0.694
Immunobiology,journal,"18783279, 01712985",18783279, 01712985,0.694,112,0.694
International Journal of Cosmetic Science,journal,"01425463, 14682494",01425463, 14682494,0.694,83,0.694
International Journal of Machine Learning and Cybernetics,journal,"1868808X, 18688071",1868808X, 18688071,0.694,73,0.694
Journal of Cardiovascular Aging,journal,27685993,27685993,,0.694,10,0.694
Journal of Photochemistry and Photobiology A: Chemistry,journal,"18732666, 10106030",18732666, 10106030,0.694,180,0.694
Journal of Science and Technology Policy Management,journal,"20534639, 20534620",20534639, 20534620,0.694,35,0.694
Langenbeck's Archives of Surgery,journal,"14352451, 14352443",14352451, 14352443,0.694,94,0.694
Orthopedic Clinics of North America,journal,"00305898, 15581373",00305898, 15581373,0.694,103,0.694
Pharmacogenomics Journal,journal,"1470269X, 14731150",1470269X, 14731150,0.694,99,0.694
Process Biochemistry,journal,"18733298, 13595113",18733298, 13595113,0.694,188,0.694
Transplantation Direct,journal,23738731,23738731,,0.694,35,0.694
Classroom Discourse,journal,"19463014, 19463022",19463014, 19463022,0.693,25,0.693
"Emotion, Space and Society",journal,"17554586, 18780040",17554586, 18780040,0.693,54,0.693
International Journal of Cultural Studies,journal,13678779,13678779,,0.693,56,0.693
Medicina Oral Patologia Oral y Cirugia Bucal,journal,"16986946, 16984447",16986946, 16984447,0.693,77,0.693
Patient Preference and Adherence,journal,1177889X,1177889X,,0.693,74,0.693
Advances in Pediatrics,book series,"00653101, 18781926",00653101, 18781926,0.693,44,0.693
Andrologia,journal,"03034569, 14390272",03034569, 14390272,0.693,79,0.693
Canadian Journal of Development Studies,journal,"21589100, 02255189",21589100, 02255189,0.693,44,0.693
Current Drug Targets,journal,"18735592, 13894501",18735592, 13894501,0.693,123,0.693
Current Eye Research,journal,"14602202, 02713683",14602202, 02713683,0.693,94,0.693
Forces in Mechanics,journal,26663597,26663597,,0.693,20,0.693
Grey Systems,journal,"20439385, 20439377",20439385, 20439377,0.693,32,0.693
HIV Research and Clinical Practice,journal,"25787470, 25787489",25787470, 25787489,0.693,55,0.693
IET Collaborative Intelligent Manufacturing,journal,25168398,25168398,,0.693,17,0.693
International Journal of Urology,journal,"14422042, 09198172",14422042, 09198172,0.693,83,0.693
Journal of Food Measurement and Characterization,journal,"21934134, 21934126",21934134, 21934126,0.693,55,0.693
Wellcome Open Research,journal,2398502X,2398502X,,0.693,52,0.693
ACI Materials Journal,journal,0889325X,0889325X,,0.692,118,0.692
Arthropod Systematics and Phylogeny,journal,"18637221, 18648312",18637221, 18648312,0.692,29,0.692
Journal of Veterinary Emergency and Critical Care,journal,"14793261, 14764431",14793261, 14764431,0.692,63,0.692
Military Psychology,journal,"15327876, 08995605",15327876, 08995605,0.692,54,0.692
Big Data,journal,"21676461, 2167647X",21676461, 2167647X,0.692,45,0.692
Clinical and Experimental Dermatology,journal,"03076938, 13652230",03076938, 13652230,0.692,92,0.692
Connective Tissue Research,journal,"03008207, 16078438",03008207, 16078438,0.692,81,0.692
"Drugs: Education, Prevention and Policy",journal,"14653370, 09687637",14653370, 09687637,0.692,53,0.692
International Journal of Distance Education Technologies,journal,15393100,15393100,,0.692,25,0.692
Nuclear Engineering and Technology,journal,"2234358X, 17385733",2234358X, 17385733,0.692,68,0.692
SIGMOD Record,journal,01635808,01635808,,0.692,149,0.692
Strahlentherapie und Onkologie,journal,"1439099X, 01797158",1439099X, 01797158,0.692,81,0.692
Current Opinion in Allergy and Clinical Immunology,journal,"14736322, 15284050",14736322, 15284050,0.692,101,0.692
Current Stem Cell Reports,journal,21987866,21987866,,0.692,27,0.692
Comparative Politics,journal,"00104159, 21516227",00104159, 21516227,0.691,78,0.691
Crop Design,journal,27728994,27728994,,0.691,6,0.691
International Journal of Innovation Science,journal,"17572223, 17572231",17572223, 17572231,0.691,34,0.691
Journal of Archaeological Science: Reports,journal,2352409X,2352409X,,0.691,48,0.691
Journal of Invertebrate Pathology,journal,"00222011, 10960805",00222011, 10960805,0.691,112,0.691
Clinical Pharmacology in Drug Development,journal,"21607648, 2160763X",21607648, 2160763X,0.691,38,0.691
Drugs in R and D,journal,"11796901, 11745886",11796901, 11745886,0.691,56,0.691
Implementation Research and Practice,journal,26334895,26334895,,0.691,5,0.691
Journal of Advanced Concrete Technology,journal,"13468014, 13473913",13468014, 13473913,0.691,67,0.691
Spectrochimica Acta - Part B Atomic Spectroscopy,journal,05848547,05848547,,0.691,133,0.691
